Date,Open,Close,High,Low,Volume,Change
2016-8-2,45.83,14.624,47.7,45.51,4.94K,-3.92%
2016-8-3,45.88,14.138,46.4,45.41,2.06K,0.11%
2016-8-4,44.87,14.372,45.9,44.8,2.63K,-2.20%
2016-8-5,45.01,14.185,45.39,44.81,1.44K,0.31%
2016-8-8,45.12,14.162,45.55,44.2,1.43K,0.24%
2016-8-9,45.47,14.349,46,45.01,1.85K,0.78%
2016-8-10,44.72,14.535,45.55,44.51,2.89K,-1.65%
2016-8-11,43.46,14.122,44.7,43.31,4.14K,-2.82%
2016-8-12,43.44,13.485,43.8,42.91,1.30K,-0.05%
2016-8-15,44.46,13.633,44.7,43.44,1.67K,2.35%
2016-8-16,44.11,13.859,45.05,44.05,1.57K,-0.79%
2016-8-17,43.75,13.754,44.1,43.21,1.47K,-0.82%
2016-8-18,44.14,13.506,44.45,43.72,1.54K,0.89%
2016-8-19,43.83,13.766,44.12,43.5,0.67K,-0.70%
2016-8-22,43.81,13.75,44.4,43.5,0.67K,-0.05%
2016-8-23,43.38,13.487,43.7,43,1.15K,-0.98%
2016-8-24,43.09,13.579,44,43.01,0.60K,-0.67%
2016-8-25,42.02,13.379,43.27,41.82,2.30K,-2.48%
2016-8-26,41.48,12.861,42.49,40.95,2.41K,-1.29%
2016-8-29,41.73,12.846,41.9,40.7,0.48K,0.60%
2016-8-30,40.96,12.932,42.05,40.8,1.29K,-1.85%
2016-8-31,40.51,12.663,41,40.41,1.23K,-1.10%
2016-9-1,40.05,12.391,40.69,39.8,2.24K,-1.14%
2016-9-2,42.05,12.344,42.05,40.05,1.00K,4.99%
2016-9-5,41.87,13.211,43.89,41.5,2.37K,-0.43%
2016-9-6,41.94,13.013,42.5,41.41,0.57K,0.17%
2016-9-8,41.93,13.096,42.39,41.42,0.83K,-0.02%
2016-9-9,41.72,12.806,41.97,41.1,0.56K,-0.50%
2016-9-12,42.2,12.883,42.45,41.55,0.89K,1.15%
2016-9-13,42.11,12.747,42.5,41.9,0.41K,-0.21%
2016-9-14,42.13,12.62,42.35,42,0.97K,0.05%
2016-9-15,42.32,12.762,42.29,42.15,0.16K,0.45%
2016-9-16,42.02,13.077,42.7,41.8,1.42K,-0.71%
2016-9-19,42.02,12.774,42.38,41.61,0.72K,0.00%
2016-9-20,41.68,12.902,42.1,41.5,1.16K,-0.81%
2016-9-21,41.1,12.987,41.69,41.07,0.96K,-1.39%
2016-9-22,40.84,12.727,41.39,40.53,1.48K,-0.63%
2016-9-23,40.3,12.572,40.92,40,1.40K,-1.32%
2016-9-26,40.17,12.427,40.35,39.93,1.09K,-0.32%
2016-9-27,40.4,12.451,40.45,39.9,0.89K,0.57%
2016-9-28,40.58,12.584,40.94,40.2,2.56K,0.45%
2016-9-29,41.76,12.421,41.98,40.42,3.07K,2.91%
2016-9-30,42.74,12.797,43.32,41.65,3.01K,2.35%
2016-10-3,43.67,13.335,43.75,42.8,1.47K,2.18%
2016-10-4,43.75,13.337,43.91,43.11,1.52K,0.18%
2016-10-5,43.73,13.631,44.4,43.42,1.31K,-0.05%
2016-10-6,43,13.54,44.05,42.72,2.65K,-1.67%
2016-10-7,42.99,13.38,43.7,42.8,1.14K,-0.02%
2016-10-10,43,13.363,43.21,42.3,0.74K,0.02%
2016-10-11,43.39,13.455,43.75,42.95,1.08K,0.91%
2016-10-13,43.11,13.651,43.5,42.91,0.90K,-0.65%
2016-10-14,43.29,13.444,43.51,43.01,0.97K,0.42%
2016-10-17,42.15,13.506,43.33,42.01,1.61K,-2.63%
2016-10-18,41.12,13.184,42.22,41.02,1.89K,-2.44%
2016-10-19,40.5,12.935,41.27,40.41,2.06K,-1.51%
2016-10-20,40.59,12.932,41.1,40.4,0.97K,0.22%
2016-10-21,40.18,12.916,40.7,40.01,2.29K,-1.01%
2016-10-24,39.72,12.866,40.34,39.66,1.34K,-1.14%
2016-10-25,39.05,12.748,39.75,39.02,1.89K,-1.69%
