Date,Close,Volume,Open,High,Low
2017-5-25,431.25,13374,429,438.25,430.75
2017-5-26,437.5,14427,437,439,430
2017-5-30,433.25,28138,438,438,427
2017-5-31,431.75,26633,436.25,440.25,431.25
2017-6-1,430.75,21980,432.75,435,424.25
2017-6-2,433.25,21374,434,438,428.75
2017-6-5,430,25087,430,435.75,427.25
2017-6-6,438,30217,440,442.25,430.5
2017-6-7,446,42024,444,450,438.25
2017-6-8,453.75,36049,452,460,447.25
2017-6-9,451.5,31456,452.5,458.5,447.75
2017-6-12,442.75,35265,444.25,451,439.5
2017-6-13,457,44308,455,457.75,445.25
2017-6-14,457.5,44897,460.5,468,455
2017-6-15,465.25,48593,453,470,450.25
2017-6-16,473.5,42043,473.5,476.5,465.75
2017-6-19,472.5,37516,471,481.25,466.5
2017-6-20,492.25,39172,485.75,499.25,484
2017-6-21,485.5,19968,486.5,493,484.5
2017-6-22,485.75,23288,485,486.5,477
2017-6-23,482.5,30421,484.5,490,480
2017-6-26,471.5,29971,471.5,483,471
2017-6-27,475.75,26438,472.5,479.5,471
2017-6-28,480.25,37915,475.5,482.75,474
2017-6-29,499.5,53906,501,502.75,478.5
2017-6-30,529.5,49461,529,529.5,497.75
2017-7-3,559.5,36566,558.75,559.5,535
2017-7-5,569.5,50996,569,577.25,541.25
2017-7-6,546.5,33625,546.5,569,543.5
2017-7-7,543,22973,539,552.5,536.75
2017-7-10,557.25,23483,558,561,547.75
2017-7-11,557.5,23031,551.5,565,546.5
2017-7-12,544,27989,552.75,556.75,538.75
2017-7-13,515.5,36547,515.5,541,514.25
2017-7-14,513.5,21977,514,523.25,510
2017-7-17,506.5,22615,512.25,512.25,503
2017-7-18,502.75,25196,508.75,517.5,502
2017-7-19,500.25,26173,501.5,507.25,497.5
2017-7-20,503.75,19812,501.5,506.5,493.75
2017-7-21,496,21641,503.75,507.5,493.5
2017-7-24,487.5,32704,491.25,493.25,479
2017-7-25,472.75,27011,493.25,493.25,472.25
2017-7-26,475.5,19315,474,480.5,472.25
2017-7-27,481,16228,475.75,484.5,475.5
2017-7-28,481,22053,481,490.25,479.75
2017-7-31,474.75,21479,478.75,481.5,472.5
2017-8-1,465.25,49679,472,479,464.75
2017-8-2,464.5,20588,465.75,469.5,458.25
2017-8-3,459.75,27189,464,467,457.25
2017-8-4,459.5,17634,459.75,465.5,458
2017-8-7,466.75,24295,460,467.25,459
2017-8-8,460.5,25000,466.75,471.5,458
2017-8-9,491,23287,487.75,492.5,485
2017-8-10,475.75,21222,492,493.75,473.75
2017-8-11,469.25,30097,476.75,477.75,464.25
2017-8-14,464.25,38753,466,466,457.5
2017-8-15,454,22412,464.5,464.5,452.25
2017-8-16,447,28201,453,461.5,443.25
2017-8-17,442,30995,446,449.25,440.5
2017-8-18,442.25,21125,442,445.5,438.25
2017-8-21,435.75,18230,440,443.75,433.25
2017-8-22,427,32756,436.25,439.5,426
2017-8-23,425.75,27639,425.75,432,424.25
2017-8-24,433.25,27823,425.75,434,424
2017-8-25,432.25,18555,433,436,430.5
2017-8-28,425.5,38236,431,432,422.25
2017-8-29,426.25,30841,424.5,426.75,420
2017-8-30,429.25,21048,425.5,430.75,425.25
2017-8-31,436.25,33333,427.75,437.5,427.5
2017-9-1,438.75,23347,435,442,434.25
2017-9-5,445,18257,440.5,447,439.75
2017-9-6,448.75,18706,442.75,449.75,440.25
2017-9-7,441.75,15728,449.25,450,439.25
2017-9-8,441.5,15605,441.5,445.75,440
2017-9-11,434.75,20541,441,442.75,433.25
2017-9-12,441.75,37103,434.75,442.5,426
2017-9-13,444.25,19129,441.25,448,441.25
2017-9-14,442,19174,444.75,451.75,440.5
2017-9-15,446,13205,442.5,447.5,440.5
2017-9-18,442.25,9802,445,447.25,439.5
2017-9-19,442,17286,441.75,446,434.75
2017-9-20,448,14585,442.25,449.75,442
2017-9-21,449.5,11584,448.75,451.5,443.5
2017-9-22,450.25,14723,449,452.5,445
2017-9-25,454,21259,448.5,455,443.5
2017-9-26,452.25,21023,452.5,460.25,449.75
2017-9-27,459,17855,452,459.5,447
2017-9-28,453,13357,458.75,459,451.25
2017-9-29,442.75,27433,453,456.75,441.75
2017-10-2,439.25,26136,440.25,443.5,432.75
2017-10-3,441.75,16442,439.25,444.75,438.25
2017-10-4,436,13031,442.5,443.25,435.5
