date,ke_Close,ke_Volume,ke_Open,ke_High,ke_Low,zo_Close,zo_Volume,zo_Open,zo_High,zo_Low,zr_Close,zr_Volume,zr_Open,zr_High,zr_Low,zw_Close,zw_Volume,zw_Open,zw_High,zw_Low
2023-10-05,690.5,21223.0,668.0,692.25,666.5,432.75,488.0,429.0,438.5,429.0,15.675,676.0,15.645,15.79,15.6,578.25,67313.0,559.75,580.25,559.0
2023-10-04,666.5,20195.0,680.5,686.0,665.25,429.0,294.0,434.0,442.5,426.25,15.645,602.0,15.77,15.8,15.635,560.0,64793.0,567.5,569.75,551.75
2023-10-03,683.25,20797.0,679.5,687.5,670.75,436.5,258.0,432.0,440.0,426.25,15.765,615.0,15.89,15.89,15.73,568.5,72921.0,568.25,575.0,562.75
2023-10-02,676.75,24238.0,664.25,682.75,663.75,434.5,465.0,428.25,444.25,423.25,15.88,485.0,15.885,16.05,15.875,564.75,91755.0,545.0,567.0,541.25
2023-09-29,663.75,35020.0,685.0,691.75,662.0,432.5,732.0,446.5,456.5,425.5,15.91,547.0,16.09,16.09,15.825,541.5,120068.0,579.5,585.5,540.0
2023-09-28,685.0,21740.0,694.0,696.5,681.0,444.5,291.0,440.5,448.5,438.75,16.13,428.0,16.1,16.2,16.07,578.75,42513.0,580.5,583.5,575.25
2023-09-27,694.5,23986.0,710.25,715.5,692.0,437.25,180.0,434.0,441.75,430.0,16.175,423.0,16.19,16.265,16.055,579.5,53280.0,589.25,594.5,578.5
2023-09-26,710.5,14256.0,715.0,721.75,707.0,433.0,287.0,436.25,445.5,430.25,16.19,270.0,15.87,16.21,15.825,589.5,47359.0,589.0,596.75,583.25
2023-09-25,714.5,15732.0,713.0,715.75,703.0,433.5,342.0,428.75,436.0,423.5,15.85,300.0,15.825,15.965,15.795,589.0,42415.0,577.0,590.0,573.75
2023-09-22,711.25,16485.0,710.5,717.75,707.0,424.75,626.0,419.5,427.75,417.75,15.825,260.0,15.81,15.885,15.765,579.5,42262.0,576.5,582.5,572.75
2023-09-21,710.5,17226.0,728.75,729.5,708.75,419.0,495.0,436.0,436.25,418.25,15.795,343.0,15.96,16.0,15.795,575.75,48761.0,589.0,590.25,575.0
