date,CH_Temp_tempC_x,BR_Humidity_relh_x,CH_Temp_tempC_y,BR_Humidity_relh_y
2014-03-20,-0.0833333333333333,78.52321428571429,-0.0833333333333333,78.52321428571429
2014-03-21,2.625,78.13347826086957,2.625,78.13347826086957
2014-03-22,4.958333333333333,82.48440000000001,4.958333333333333,82.48440000000001
2014-03-23,6.75,81.2184,6.75,81.2184
2014-03-24,5.541666666666667,81.6612,5.541666666666667,81.6612
2014-03-25,6.291666666666667,82.12153846153845,6.291666666666667,82.12153846153845
2014-03-26,6.916666666666667,79.96296296296296,6.916666666666667,79.96296296296296
2014-03-27,11.208333333333334,83.07285714285715,11.208333333333334,83.07285714285715
2014-03-28,6.375,78.13000000000001,6.375,78.13000000000001
2014-03-29,5.708333333333333,73.9325,5.708333333333333,73.9325
2014-03-30,5.75,81.8726923076923,5.75,81.8726923076923
